"riskiness (0 =  good, 1 = bad)",principal,"past_due_days (cutoff on 12/8/2016, negative means paid early)","education (0 = high school or below, 1 = some college, 2 = bachelor, 3 = master or above)",age,"gender (0 = male, 1 = female)","money_in_checking_account (0 = less than 0 or no account, 1 = between 0 and 10000, 2 = more than 10000)","credit_history (0 = no credits taken or all credits paid back on time, 1 = existing credits paid back on time until now, 2 = delay in paying back in the past, 3 = critical account/credits at other banks)",credit_amount,"money_in_savings (0 = unknown or no savings account, 1 = less than 1000, 2 = between 1000 and 5000, 3 = between 5000 and 10000, 4 = over 10000)","years_at_present_employment (0 = unemployed, 1 = less than 1 year, 2 = between 1 and 4 years, 3 = between 4 and 7 years, 4 = more than 7 years)",years_at_current_address,"rent_housing (0 = no, 1 = yes)","own_housing (0 = no, 1 = yes)","free_housing (0 = no, 1 = yes)",number_of_credits_at_this_bank,"is_employed (0 = unemployed, 1 = employed)",number_of_dependents,"is_foreign_worker (0 = no, 1 = yes)"
0,1000,-28,1,45,0,,,,,,,,,,,,,
0,1000,-28,0,50,1,,,,,,,,,,,,,
0,1000,-25,0,33,1,,,,,,,,,,,,,
0,1000,-24,1,27,0,,,,,,,,,,,,,
0,1000,-24,1,28,1,,,,,,,,,,,,,
0,1000,-22,0,35,0,,,,,,,,,,,,,
0,1000,-22,1,29,0,,,,,,,,,,,,,
0,1000,-18,0,36,0,,,,,,,,,,,,,
0,1000,-17,1,28,0,,,,,,,,,,,,,
0,800,-16,1,26,0,,,,,,,,,,,,,
0,1000,-16,1,29,0,,,,,,,,,,,,,
0,1000,-15,2,39,0,,,,,,,,,,,,,
0,1000,-15,0,26,0,,,,,,,,,,,,,
0,1000,-14,1,26,1,,,,,,,,,,,,,
0,1000,-14,2,27,0,,,,,,,,,,,,,
0,1000,-13,0,26,0,,,,,,,,,,,,,
0,800,-13,1,40,0,,,,,,,,,,,,,
0,800,-12,2,32,0,,,,,,,,,,,,,
0,500,-12,1,32,0,,,,,,,,,,,,,
0,1000,-11,2,26,0,,,,,,,,,,,,,
0,1000,-11,0,26,0,,,,,,,,,,,,,
0,1000,-11,0,43,1,,,,,,,,,,,,,
0,1000,-11,0,25,0,,,,,,,,,,,,,
0,1000,-10,1,26,0,,,,,,,,,,,,,
0,1000,-10,1,26,0,,,,,,,,,,,,,
0,1000,-10,0,29,0,,,,,,,,,,,,,
0,1000,-10,2,39,0,,,,,,,,,,,,,
0,1000,-10,1,34,0,,,,,,,,,,,,,
0,1000,-10,0,31,0,,,,,,,,,,,,,
0,1000,-9,0,33,0,,,,,,,,,,,,,
0,1000,-9,2,33,0,,,,,,,,,,,,,
0,1000,-9,1,37,0,,,,,,,,,,,,,
0,800,-9,1,27,0,,,,,,,,,,,,,
0,1000,-8,0,37,0,,,,,,,,,,,,,
0,1000,-7,0,33,0,,,,,,,,,,,,,
0,1000,-7,1,29,0,,,,,,,,,,,,,
0,800,-7,1,27,0,,,,,,,,,,,,,
0,800,-6,1,33,0,,,,,,,,,,,,,
0,1000,-6,1,24,0,,,,,,,,,,,,,
0,800,-6,1,21,0,,,,,,,,,,,,,
0,1000,-6,1,32,1,,,,,,,,,,,,,
0,300,-5,3,30,0,,,,,,,,,,,,,
0,1000,-5,1,31,0,,,,,,,,,,,,,
0,1000,-5,0,30,0,,,,,,,,,,,,,
