,riskiness,principal,past_due_days,education,age,gender,money_in_checking_account,credit_history,credit_amount,money_in_savings,years_at_present_job,years_at_current_address,rent_housing,own_housing,free_housing,number_of_credits_at_this_bank,is_employed,number_of_dependents,is_foreign_worker,credit_score,num_friends,sentiment,steps,activity,nutrition,num_connections
5125,1,800.0,74.0,0.0,35,0,0.0,3.0,7855.0,1.0,2.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,541,228,0.1769817388910837,8765,186,2.7236222483041144,129
1979,0,800.0,1.0,0.0,44,0,2.0,1.0,1474.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,843,324,0.24817809287569925,7840,240,3.9876282093975384,170
4686,0,1000.0,1.0,1.0,74,1,1.0,3.0,5743.0,1.0,1.0,4.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,763,54,0.9072343811498587,5298,247,0.18409618620642332,0
3759,0,800.0,0.0,1.0,57,1,1.0,1.0,3195.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,452,126,0.18138808053305366,6981,319,1.7625677882331754,337
2981,1,800.0,59.0,0.0,26,0,0.0,1.0,2302.0,1.0,2.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,737,354,0.8524653819151309,5973,182,0.699975295349104,226
4039,0,800.0,0.0,0.0,45,1,1.0,3.0,3617.0,1.0,4.0,4.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0,677,235,0.9723883290351357,6620,152,2.379076670189828,173
4305,0,1000.0,-1.0,1.0,24,0,0.0,3.0,4139.0,2.0,2.0,3.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,466,574,0.9443370881879757,7562,463,4.232250693600272,140
4367,1,1000.0,74.0,1.0,42,0,0.0,3.0,4281.0,3.0,2.0,4.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,471,286,0.1257870727653334,5649,330,0.7369049114692489,187
2040,0,1000.0,-3.0,0.0,23,0,0.0,2.0,1503.0,1.0,2.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,671,578,0.6159419756327218,5937,531,1.5394227459213028,0
4294,1,800.0,28.0,1.0,32,0,1.0,1.0,4057.0,1.0,3.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,746,0,0.22966302419905227,5877,416,4.310427239090662,142
805,1,1000.0,59.0,0.0,33,0,0.0,1.0,750.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,596,296,0.27193305313411653,8027,423,4.69971383022726,154
1871,0,800.0,-2.0,2.0,33,0,0.0,1.0,1413.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,574,308,0.7382390866932116,5957,153,4.439716008929732,146
3577,0,1000.0,-15.0,0.0,51,0,0.0,1.0,2978.0,3.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,751,304,0.6476982777499629,7511,423,0.1084706648972511,292
320,0,800.0,2.0,1.0,25,0,0.0,3.0,1262.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,648,370,0.12854729757378835,7990,351,2.989001581151753,255
4082,0,1000.0,0.0,2.0,26,1,2.0,3.0,3656.0,0.0,4.0,4.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,682,344,0.14890949951708743,5016,229,0.1629373146701979,215
2124,0,1000.0,-4.0,1.0,65,0,0.0,1.0,1542.0,1.0,3.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,806,120,0.10782495669964709,5579,446,4.893470522825352,108
4439,0,1000.0,-2.0,0.0,46,0,1.0,3.0,4576.0,2.0,0.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,444,239,0.5752442029854424,5397,362,4.111936057486167,203
333,0,1000.0,2.0,1.0,30,1,1.0,1.0,7166.0,2.0,2.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,432,355,0.7402883903899048,6108,271,4.552897568140343,145
1733,0,1000.0,-2.0,0.0,25,0,0.0,3.0,1360.0,1.0,2.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,737,0,0.7069496591764584,5693,230,1.3570991733376854,228
480,1,1000.0,74.0,0.0,30,0,0.0,1.0,8386.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,654,357,0.7379074364569725,10304,289,4.9055872518298225,190
4500,1,800.0,59.0,1.0,67,0,1.0,3.0,4736.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,783,65,0.3576872864942201,6279,130,2.651109682942913,66
2916,1,1000.0,74.0,1.0,33,0,0.0,3.0,2246.0,1.0,4.0,3.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,572,0,0.06266926620504121,8360,301,0.92756984804792,175
1781,0,800.0,2.0,0.0,50,0,2.0,1.0,1377.0,2.0,4.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,695,224,0.20077839574156275,4588,303,2.0192133693560947,0
2850,0,1000.0,0.0,0.0,23,1,1.0,3.0,2181.0,0.0,4.0,4.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,409,679,0.289082805567198,6886,234,3.1581883087883016,0
2062,0,1000.0,-1.0,1.0,29,1,0.0,3.0,1516.0,4.0,2.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,716,470,0.8810902709250019,5798,165,3.032972178129412,230
2163,0,300.0,-1.0,0.0,35,0,1.0,2.0,1553.0,2.0,3.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,513,227,0.6167788790833775,6717,219,2.481936436749393,132
3538,0,800.0,0.0,1.0,37,0,0.0,1.0,2901.0,0.0,1.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,562,313,0.2933645862804658,6775,325,2.8727606925092077,164
1868,0,1000.0,0.0,1.0,42,0,0.0,3.0,1412.0,1.0,2.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,743,295,0.023303177087274585,8928,382,4.246028692436436,154
1921,1,1000.0,76.0,0.0,30,0,0.0,1.0,1442.0,1.0,3.0,4.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,451,457,0.29276471940118887,7093,363,1.954597438465811,169
3920,0,1000.0,-11.0,2.0,20,1,1.0,0.0,3496.0,4.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,712,632,0.14883667935773348,4604,317,4.548943119284282,214
127,0,500.0,-1.0,0.0,43,0,0.0,2.0,3399.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,503,0,0.2204213116428012,5916,270,4.155647786435634,0
2106,1,1000.0,60.0,0.0,74,0,1.0,1.0,1534.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,752,181,0.3352169905923812,5993,299,2.1063118852524316,87
2951,0,1000.0,-1.0,2.0,29,1,0.0,1.0,2279.0,0.0,2.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,653,298,0.436684683134575,4124,475,1.2631458455918643,245
1349,1,800.0,60.0,0.0,57,0,0.0,1.0,1207.0,1.0,1.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,733,153,0.793078780017082,5236,326,3.058051518871248,335
